USER           PID  PPID NAME                        ARGS                       
root          1247     2 [irq/105-arm-smmu-context-fault] [irq/105-arm-smmu-context-fault]
root          1248     2 [irq/55-arm-smmu-context-fault] [irq/55-arm-smmu-context-fault]
root          1253     2 [irq/56-arm-smmu-context-fault] [irq/56-arm-smmu-context-fault]
root          1254     2 [irq/106-arm-smmu-context-fault] [irq/106-arm-smmu-context-fault]
root          1255     2 [irq/107-arm-smmu-context-fault] [irq/107-arm-smmu-context-fault]
root          1256     2 [irq/343-msm_cvp]           [irq/343-msm_cvp]
root          1257     2 [irq/57-arm-smmu-context-fault] [irq/57-arm-smmu-context-fault]
root          1262     2 [kworker/R-msm_cvp_workerq_iris] [kworker/R-msm_cvp_workerq_iris]
root          1263     2 [kworker/R-pm_workerq_iris] [kworker/R-pm_workerq_iris]
root          1264     2 [irq/108-arm-smmu-context-fault] [irq/108-arm-smmu-context-fault]
root          1265     2 [irq/58-arm-smmu-context-fault] [irq/58-arm-smmu-context-fault]
root          1267     2 [kgsl_cooling_worker]       [kgsl_cooling_worker]
root          1272     2 [irq/109-arm-smmu-context-fault] [irq/109-arm-smmu-context-fault]
root          1274     2 [irq/110-arm-smmu-context-fault] [irq/110-arm-smmu-context-fault]
root          1275     2 [irq/348-bhi]               [irq/348-bhi]
root          1276     2 [irq/111-arm-smmu-context-fault] [irq/111-arm-smmu-context-fault]
root          1277     2 [irq/112-arm-smmu-context-fault] [irq/112-arm-smmu-context-fault]
root          1278     2 [irq/113-arm-smmu-context-fault] [irq/113-arm-smmu-context-fault]
root          1279     2 [cvp-dsp-thread]            [cvp-dsp-thread]
root          1282     2 [irq/260-pmr735d-temp-alarm] [irq/260-pmr735d-temp-alarm]
root          1283     2 [irq/381-bcl-lvl2]          [irq/381-bcl-lvl2]
root          1284     2 [kgsl-events]               [kgsl-events]
root          1285     2 [kgsl_hwsched]              [kgsl_hwsched]
root          1286     2 [irq/83-arm-smmu-context-fault] [irq/83-arm-smmu-context-fault]
root          1287     2 [irq/380-pm8010m-temp-alarm] [irq/380-pm8010m-temp-alarm]
root          1288     2 [jbd2/sda2-8]               [jbd2/sda2-8]
root          1289     2 [kworker/R-ext4-rsv-conversion] [kworker/R-ext4-rsv-conversion]
root          1290     2 [irq/382-bcl-lvl0]          [irq/382-bcl-lvl0]
root          1291     2 [jbd2/sde52-8]              [jbd2/sde52-8]
root          1292     2 [kworker/R-ext4-rsv-conversion] [kworker/R-ext4-rsv-conversion]
root          1295     2 [irq/383-bcl-lvl1]          [irq/383-bcl-lvl1]
root          1296     2 [irq/384-bcl-lvl2]          [irq/384-bcl-lvl2]
root          1299     2 [glink_soccp]               [glink_soccp]
root          1300     2 [irq/386-q6v5 wdog]         [irq/386-q6v5 wdog]
root          1301     2 [glink-glink_ssr]           [glink-glink_ssr]
root          1302     2 [irq/392-q6v5 wdog]         [irq/392-q6v5 wdog]
root          1303     2 [irq/398-q6v5 wdog]         [irq/398-q6v5 wdog]
root          1306     2 [glink-PMIC_RTR_SOCCP_APPS] [glink-PMIC_RTR_SOCCP_APPS]
root          1307     2 [glink-PMIC_LOGS_SOCCP_APPS] [glink-PMIC_LOGS_SOCCP_APPS]
root          1308     2 [irq/404-awp1921]           [irq/404-awp1921]
root          1309     2 [qrtr_rx]                   [qrtr_rx]
root          1310     2 [glink-IPCRTR]              [glink-IPCRTR]
root          1311     2 [irq/405-pmh0101-temp-alarm] [irq/405-pmh0101-temp-alarm]
root          1312     2 [irq/407-pmh0110-d-temp-alarm] [irq/407-pmh0110-d-temp-alarm]
root          1313     2 [irq/408-pmh0110-f-temp-alarm] [irq/408-pmh0110-f-temp-alarm]
root          1315     2 [irq/410-pmh0110-g-temp-alarm] [irq/410-pmh0110-g-temp-alarm]
root          1317     2 [irq/411-pmh0110-i-temp-alarm] [irq/411-pmh0110-i-temp-alarm]
root          1318     2 [irq/412-pmih010x-temp-alarm] [irq/412-pmih010x-temp-alarm]
root          1320     2 [irq/413-pmih010x-temp-alarm-lite] [irq/413-pmih010x-temp-alarm-lite]
root          1322     2 [irq/314-pwr_event_irq]     [irq/314-pwr_event_irq]
root          1323     2 [irq/315-dp_hs_phy_irq]     [irq/315-dp_hs_phy_irq]
root          1324     2 [irq/316-dm_hs_phy_irq]     [irq/316-dm_hs_phy_irq]
root          1325     2 [irq/317-ss_phy_irq]        [irq/317-ss_phy_irq]
root          1327     2 [irq/114-arm-smmu-context-fault] [irq/114-arm-smmu-context-fault]
root          1328     2 [adspsleepmon-worker]       [adspsleepmon-worker]
root          1329     2 [kworker/R-screen_state_wq] [kworker/R-screen_state_wq]
root          1330     2 [irq/115-arm-smmu-context-fault] [irq/115-arm-smmu-context-fault]
